SKU,Category,Title,Description,Price,Condition,ShippingType,ShippingServiceCost,ReturnsAccepted,PictureURL
2008-mlb-all-star-game-pin-set,261328,pin set - 2008 MLB All-Star Game New York City baseball pin set in a,"2008 MLB All-Star Game New York City baseball pin set in a presentation case; MLB hologram/officially licensed tag visible.

Condition observations: Case and contents photographed together; visible case surface scuffs/dust and plastic reflections. Completeness appears consistent with the photographed set; verify pin count before listing.

Please review all photos carefully before purchase.

Review caveat: Confirm exact pin count and edition/completeness before final listing.",29.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-case-angled.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-case.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-detail-1.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-detail-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-detail-3.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-detail-4.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-detail-5.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-detail-holo-tag.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-detail-verso-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/2008-mlb-all-star-game-pin-set-detail-verso.webp
1985-mlb-world-series-ticket-stubs,261328,ticket stubs - Three 1985 MLB World Series ticket stubs; Kansas City Royals,"Three 1985 MLB World Series ticket stubs; Kansas City Royals championship-era event tickets are visually supported, but exact game/seat details require close transcription.

Condition observations: Paper tickets show age-related handling; fronts and versos photographed, with one measurement view. Do not describe as unused or mint without further inspection.

Please review all photos carefully before purchase.

Review caveat: Historically significant Royals championship material; verify exact games, authenticity, and deeper sold comps.",39.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/85-mlb-world-series-stubs-front-measure.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/85-mlb-world-series-stubs-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/85-mlb-world-series-stubs-verso.webp
1990-kc-royals-yearbook,261328,yearbook - 1990 Kansas City Royals Yearbook; cover title and $5.00 printed,"1990 Kansas City Royals Yearbook; cover title and $5.00 printed price visible.

Condition observations: Softcover/publication appears used with cover wear and edge/corner handling; interior/verso photographed.

Please review all photos carefully before purchase.",14.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/90-kc-royals-yearbook-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/90-kc-royals-yearbook-inner-1.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/90-kc-royals-yearbook-inner-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/90-kc-royals-yearbook-verso.webp
1993-george-brett-final-home-game,261328,"ticket stub - 1993 George Brett final-home-game commemorative piece, identified","1993 George Brett final-home-game commemorative piece, identified from the clear filename grouping and baseball image; exact publication/ticket format is not fully readable from the overview.

Condition observations: Paper/cardstock item shows visible edge and surface handling; avoid asserting pristine condition.

Please review all photos carefully before purchase.

Review caveat: Material format/identification uncertainty; Mark should confirm whether this is a ticket, program, or souvenir.",19.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/93-george-brett-final-home-game-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/93-george-brett-final-home-game-verso.webp
1998-ncaa-womens-final-four-ticket-stubs,261328,ticket stubs - 1998 NCAA Women's Final Four ticket stubs for March 27th and,"1998 NCAA Women's Final Four ticket stubs for March 27th and 29th, 1998, Kemper Arena, Kansas City, Missouri; Big 12 Conference host text visible.

Condition observations: Ticket stack appears clean but handled; edges and perforations should be described from photos rather than assumed unused.

Please review all photos carefully before purchase.",19.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-ncaa-womens-ff-ticket-stubs-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-ncaa-womens-ff-ticket-stubs-inner.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-ncaa-womens-ff-ticket-stubs-verso.webp
1998-world-series-pennant,261328,"pennant - 1998 World Series pennant; MLB hologram/commemorative detail visible,","1998 World Series pennant; MLB hologram/commemorative detail visible, but team/venue text should be transcribed from detail views before listing.

Condition observations: Pennant is photographed folded; visible textile/felt creasing and storage handling. Do not claim display-free condition.

Please review all photos carefully before purchase.

Review caveat: Confirm team/issuer and inspect for folds, stains, or edge separation.",24.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-world-series-pennant-detail-hologram.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-world-series-pennant-folded.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-world-series-pennant-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-world-series-pennant-verso.webp
1996-atlanta-summer-games-publication,261328,"publication - 1996 Atlanta Summer Games/XXVI Olympiad basketball ticket lot,","1996 Atlanta Summer Games/XXVI Olympiad basketball ticket lot, including Georgia Dome, Atlanta GA, Aug 1, 10:00 AM, aisle U26, section 326, row 13, seat 11, $16.00 face value.

Condition observations: Multiple paper tickets with visible edge handling and a folded/stacked presentation; printed details remain legible.

Please review all photos carefully before purchase.",24.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/atlanta-summer-games-96-front-fan.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/atlanta-summer-games-96-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/atlanta-summer-games-96-verso-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/atlanta-summer-games-96-verso.webp
bryan-barker-chiefs-signed-photograph,261328,signed photograph - Bryan Barker Kansas City Chiefs black-and-white punter,"Bryan Barker Kansas City Chiefs black-and-white punter photograph, signed in black marker with number 4 inscription; printed caption identifies Bryan Barker, P, Kansas City Chiefs.

Condition observations: Glossy photo has visible handling/reflection; autograph is bold and legible. Approximate 8 x 10 inch format shown with ruler.

Please review all photos carefully before purchase.

Review caveat: Autograph authenticity/provenance must be disclosed and reviewed before listing.",34.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/bryan-barker-chiefs-signed-photo-bw.webp
2002-cmh-golf-classic-publication,261328,publication - 2002 CMH Golf Classic / Blue Hills Country Club commemorative,"2002 CMH Golf Classic / Blue Hills Country Club commemorative publication or program; cover reads Children's Mercy Hospital Golf Classic, June 18, 2002.

Condition observations: Small bound/boxed paper item appears clean with normal handling; cover and interior/verso photographed.

Please review all photos carefully before purchase.",14.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/cmh-golf-classic-2002-bhcc-detail.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/cmh-golf-classic-2002-bhcc-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/cmh-golf-classic-2002-bhcc-measured.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/cmh-golf-classic-2002-bhcc-verso.webp
george-brett-3000-hit-souvenir,261328,"souvenir publication - George Brett commemorative souvenir for 3,000 career","George Brett commemorative souvenir for 3,000 career hits; large “3000!” cover, George Brett text, and $3.00 printed price visible.

Condition observations: Paper souvenir shows normal handling and edge wear; a handwritten-looking mark/signature appears on the cover and should not be called an autograph without verification. Approx. 8.5 x 11 inches shown.

Please review all photos carefully before purchase.

Review caveat: Determine whether the cover mark is an authentic George Brett signature or incidental writing.",19.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/george-brett-3000-hit-souvenir-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/george-brett-3000-hit-souvenir-inner-1.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/george-brett-3000-hit-souvenir-inner-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/george-brett-3000-hit-souvenir-inner-3.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/george-brett-3000-hit-souvenir-verso.webp
