SKU,Category,Title,Description,Price,Condition,ShippingType,ShippingServiceCost,ReturnsAccepted,PictureURL
1996-atlanta-summer-games-publication,261328,"publication - 1996 Atlanta Summer Games/XXVI Olympiad basketball ticket lot,","1996 Atlanta Summer Games/XXVI Olympiad basketball ticket lot, including Georgia Dome, Atlanta GA, Aug 1, 10:00 AM, aisle U26, section 326, row 13, seat 11, $16.00 face value.

Condition observations: Multiple paper tickets with visible edge handling and a folded/stacked presentation; printed details remain legible.

Please review all photos carefully before purchase.",24.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/atlanta-summer-games-96-front-fan.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/atlanta-summer-games-96-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/atlanta-summer-games-96-verso-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/atlanta-summer-games-96-verso.webp
mlb-all-star-game-ticket-stub-and-program,261328,ticket stub and program - 2008 MLB All-Star Game N.Y.C. official,"2008 MLB All-Star Game N.Y.C. official program/commemorative ticket package; visible text reads Official Program, Limited Stadium Edition, Tuesday July 15, Yankee Stadium, NYC, Gate 6, and special pre-game ceremony.

Condition observations: Program/ticket is photographed in original plastic; plastic is wrinkled and may obscure minor paper wear. No claim of mint condition.

Please review all photos carefully before purchase.",24.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-stub-and-program-detail-1.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-stub-and-program-detail-2-5.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-stub-and-program-detail-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-stub-and-program-detail-3.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-stub-and-program-detail-thickness.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-stub-and-program-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-stub-and-program-thickness-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-stub-and-program-verso.webp
toronto-blue-jays-hot-wheels-die-cast-vehicle,261328,die-cast vehicle - Mattel Hot Wheels die-cast vehicle in Toronto Blue Jays,"Mattel Hot Wheels die-cast vehicle in Toronto Blue Jays 25th-season packaging; package shows Blue Jays logos and A summer tradition since 1977.

Condition observations: Sealed blister/package photographed from multiple angles; card and blister show light storage wear, with no loose-car inspection possible.

Please review all photos carefully before purchase.",24.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/toronto-blue-jays-hot-wheels-detail.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/toronto-blue-jays-hot-wheels-front-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/toronto-blue-jays-hot-wheels-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/toronto-blue-jays-hot-wheels-top.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/toronto-blue-jays-hot-wheels-verso.webp
1998-ncaa-womens-final-four-ticket-stubs,261328,ticket stubs - 1998 NCAA Women's Final Four ticket stubs for March 27th and,"1998 NCAA Women's Final Four ticket stubs for March 27th and 29th, 1998, Kemper Arena, Kansas City, Missouri; Big 12 Conference host text visible.

Condition observations: Ticket stack appears clean but handled; edges and perforations should be described from photos rather than assumed unused.

Please review all photos carefully before purchase.",19.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-ncaa-womens-ff-ticket-stubs-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-ncaa-womens-ff-ticket-stubs-inner.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/98-ncaa-womens-ff-ticket-stubs-verso.webp
2001-sports-illustrated-dale-earnhardt-memorial,261328,"magazine - Sports Illustrated Dale Earnhardt memorial issue, 2001; cover reads","Sports Illustrated Dale Earnhardt memorial issue, 2001; cover reads “Death of a Champion” and identifies Dale Earnhardt.

Condition observations: Magazine cover shows minor handling/edge wear; approximately 8.5 x 11 inches shown with ruler.

Please review all photos carefully before purchase.",16.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/si-dale-earnhardt-memorial-2001-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/si-dale-earnhardt-memorial-2001-inner.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/si-dale-earnhardt-memorial-2001-verso.webp
1990-kc-royals-yearbook,261328,yearbook - 1990 Kansas City Royals Yearbook; cover title and $5.00 printed,"1990 Kansas City Royals Yearbook; cover title and $5.00 printed price visible.

Condition observations: Softcover/publication appears used with cover wear and edge/corner handling; interior/verso photographed.

Please review all photos carefully before purchase.",14.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/90-kc-royals-yearbook-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/90-kc-royals-yearbook-inner-1.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/90-kc-royals-yearbook-inner-2.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/90-kc-royals-yearbook-verso.webp
2002-cmh-golf-classic-publication,261328,publication - 2002 CMH Golf Classic / Blue Hills Country Club commemorative,"2002 CMH Golf Classic / Blue Hills Country Club commemorative publication or program; cover reads Children's Mercy Hospital Golf Classic, June 18, 2002.

Condition observations: Small bound/boxed paper item appears clean with normal handling; cover and interior/verso photographed.

Please review all photos carefully before purchase.",14.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/cmh-golf-classic-2002-bhcc-detail.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/cmh-golf-classic-2002-bhcc-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/cmh-golf-classic-2002-bhcc-measured.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/cmh-golf-classic-2002-bhcc-verso.webp
mlb-25-patch,261328,patch - MLB 25 commemorative embroidered patch/emblem; MLB/National League,"MLB 25 commemorative embroidered patch/emblem; MLB/National League branding and officially licensed warning text visible on reverse.

Condition observations: Patch appears unused or minimally handled in clear packaging; packaging reflections and edge condition visible.

Please review all photos carefully before purchase.",14.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-25-patch-back.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-25-patch-detail.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-25-patch-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-25-patch-side.webp
1998-mlb-all-star-game-nyc-patch,261328,patch - 1998 MLB All-Star Game New York City commemorative patch/emblem in,"1998 MLB All-Star Game New York City commemorative patch/emblem in packaging; Major League Baseball Collectibles header and National League branding visible.

Condition observations: Packaged patch appears clean; packaging has ordinary handling/storage wear.

Please review all photos carefully before purchase.",14.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-98-nyc-patch-back.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-98-nyc-patch-details.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/mlb-all-star-game-98-nyc-patch-front.webp
2001-nascar-illustrated-earnhardt-memorial,261328,"magazine - NASCAR Illustrated special/memorial issue for Dale Earnhardt, 2001;","NASCAR Illustrated special/memorial issue for Dale Earnhardt, 2001; cover and UPC photographed.

Condition observations: Magazine shows ordinary shelf/storage handling; cover and verso/UPC visible.

Please review all photos carefully before purchase.",14.99,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/nascar-illustrated-earnhardt-memorial-2001-detail-upc.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/nascar-illustrated-earnhardt-memorial-2001-front.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/generic-memorabilia/nascar-illustrated-earnhardt-memorial-2001-verso.webp
