SourceLayout,Representative,Copies,ABackbone,ARotateCW,TurtleBRotateCW,Margin,Reviewed
UD_001_A_073,UD_001_A_073_03,2,top,180,90,0.098526,PASS
UD_001_A_074,UD_001_A_074_01,4,top,180,0,0.090258,PASS
UD_001_B_045,UD_001_B_045_01,4,left,270,90,0.170246,PASS
UD_001_B_046,UD_001_B_046_01,4,left,270,90,0.181516,PASS
UD_001_B_047,UD_001_B_047_01,4,left,270,0,0.141764,PASS
UD_001_B_048,UD_001_B_048_01,4,left,270,90,0.173548,PASS
UD_001_B_049,UD_001_B_049_01,4,left,270,0,0.156575,PASS
UD_001_B_050,UD_001_B_050_01,4,left,270,0,0.129694,PASS
UD_001_B_051,UD_001_B_051_01,4,right,90,270,0.161548,PASS
UD_001_B_052,UD_001_B_052_01,4,left,270,0,0.167296,PASS
UD_001_B_075,UD_001_B_075_01,4,left,270,90,0.165218,PASS
UD_001_B_077,UD_001_B_077_01,4,left,270,90,0.192035,PASS
UD_001_B_078,UD_001_B_078_01,4,left,270,90,0.160248,PASS
UD_001_B_079,UD_001_B_079_01,4,left,270,90,0.152662,PASS
UD_001_C_054,UD_001_C_054_01,4,left,270,90,0.144043,PASS
UD_001_C_056,UD_001_C_056_01,4,left,270,90,0.154031,PASS
UD_001_C_057,UD_001_C_057_01,4,left,270,90,0.106374,PASS
UD_001_C_058,UD_001_C_058_01,4,left,270,90,0.118545,PASS
UD_001_C_059,UD_001_C_059_01,4,left,270,90,0.130738,PASS
UD_001_C_060,UD_001_C_060_01,4,left,270,90,0.122209,PASS
UD_001_C_061,UD_001_C_061_01,4,left,270,90,0.148111,PASS
UD_001_C_081,UD_001_C_081_01,4,left,270,90,0.171338,PASS
UD_001_C_082,UD_001_C_082_01,4,left,270,90,0.196826,PASS
UD_001_C_083,UD_001_C_083_01,4,left,270,0,0.125078,PASS
UD_001_C_084,UD_001_C_084_01,4,left,270,90,0.170327,PASS
UD_001_C_085,UD_001_C_085_01,4,left,270,0,0.133891,PASS
UD_001_D_062,UD_001_D_062_01,4,left,270,0,0.023738,PASS
UD_001_D_063,UD_001_D_063_01,4,left,270,0,0.04603,PASS
UD_001_D_064,UD_001_D_064_01,4,left,270,0,0.021218,PASS
UD_001_D_087,UD_001_D_087_01,4,left,270,0,0.143826,PASS
UD_001_D_088,UD_001_D_088_01,4,left,270,0,0.12821,PASS
UD_001_E_065,UD_001_E_065_01,4,top,180,0,0.038252,PASS
UD_001_E_090,UD_001_E_090_01,4,left,270,0,0.142223,PASS
UD_001_E_091,UD_001_E_091_01,4,left,270,0,0.154838,PASS
UD_001_E_092,UD_001_E_092_01,4,left,270,90,0.12785,PASS
UD_001_F_093,UD_001_F_093_01,4,left,270,90,0.146435,PASS
UD_001_F_094,UD_001_F_094_01,4,left,270,90,0.131765,PASS
UD_001_G_097,UD_001_G_097_01,4,left,270,90,0.179223,PASS
UD_001_G_098,UD_001_G_098_01,4,left,270,90,0.15817,PASS
UD_002_A_0099,UD_002_A_0099_01,4,bottom,0,270,0.104539,FAILLEFT
UD_002_A_0101,UD_002_A_0101_01,4,left,270,0,0.086899,PASS
UD_002_A_0105,UD_002_A_0105_01,4,top,180,0,0.088004,PASS
UD_002_A_0107,UD_002_A_0107_01,4,left,270,0,0.090242,PASS
UD_002_A_0108,UD_002_A_0108_01,4,left,270,0,0.063832,PASS
UD_002_A_0109,UD_002_A_0109_01,4,bottom,0,180,0.067354,PASS
UD_002_A_0110,UD_002_A_0110_01,4,left,270,0,0.090919,PASS
UD_002_A_0113,UD_002_A_0113_01,4,left,270,0,0.10471,PASS
UD_002_B_0001,UD_002_B_0001_01,4,bottom,0,270,0.175454,PASS
UD_002_B_0002,UD_002_B_0002_01,4,bottom,0,270,0.175953,PASS
UD_002_B_0003,UD_002_B_0003_01,4,bottom,0,270,0.157855,FAILTOP
UD_002_B_0006_01,UD_002_B_0006_01_01,4,bottom,0,270,0.170409,PASS
UD_002_B_0006_02,UD_002_B_0006_02_01,4,bottom,0,270,0.170423,PASS
UD_002_B_0006_03,UD_002_B_0006_03_01,4,bottom,0,270,0.170409,PASS
UD_002_B_0006_04,UD_002_B_0006_04_01,4,bottom,0,270,0.170423,PASS
