PairKey,SourceLayout,ABackbone,ARotateCW,BWinnerCW,WinnerScore,RunnerUpCW,RunnerUpScore,Margin,Score0,Score90,Score180,Score270
UD_001_A_073_03,UD_001_A_073,top,180,90,0.560226,270,0.4617,0.098526,0.444148,0.560226,0.459119,0.4617
UD_001_A_073_04,UD_001_A_073,top,180,90,0.560226,270,0.4617,0.098526,0.444148,0.560226,0.459119,0.4617
UD_001_A_074_01,UD_001_A_074,top,180,0,0.565161,180,0.474903,0.090258,0.565161,0.474722,0.474903,0.444076
UD_001_A_074_02,UD_001_A_074,top,180,0,0.565161,180,0.474903,0.090258,0.565161,0.474722,0.474903,0.444076
UD_001_A_074_03,UD_001_A_074,top,180,0,0.565161,180,0.474903,0.090258,0.565161,0.474722,0.474903,0.444076
UD_001_A_074_04,UD_001_A_074,top,180,0,0.565161,180,0.474903,0.090258,0.565161,0.474722,0.474903,0.444076
UD_001_B_045_01,UD_001_B_045,left,270,90,0.649682,270,0.479437,0.170246,0.473875,0.649682,0.466495,0.479437
UD_001_B_045_02,UD_001_B_045,left,270,90,0.649682,270,0.479437,0.170246,0.473875,0.649682,0.466495,0.479437
UD_001_B_045_03,UD_001_B_045,left,270,90,0.649682,270,0.479437,0.170246,0.473875,0.649682,0.466495,0.479437
UD_001_B_045_04,UD_001_B_045,left,270,90,0.649682,270,0.479437,0.170246,0.473875,0.649682,0.466495,0.479437
UD_001_B_046_01,UD_001_B_046,left,270,90,0.651986,0,0.47047,0.181516,0.47047,0.651986,0.469901,0.458994
UD_001_B_046_02,UD_001_B_046,left,270,90,0.651986,0,0.47047,0.181516,0.47047,0.651986,0.469901,0.458994
UD_001_B_046_03,UD_001_B_046,left,270,90,0.651986,0,0.47047,0.181516,0.47047,0.651986,0.469901,0.458994
UD_001_B_046_04,UD_001_B_046,left,270,90,0.651986,0,0.47047,0.181516,0.47047,0.651986,0.469901,0.458994
UD_001_B_047_01,UD_001_B_047,left,270,0,0.643201,180,0.501437,0.141764,0.643201,0.492191,0.501437,0.480845
UD_001_B_047_02,UD_001_B_047,left,270,0,0.643201,180,0.501437,0.141764,0.643201,0.492191,0.501437,0.480845
UD_001_B_047_03,UD_001_B_047,left,270,0,0.643201,180,0.501437,0.141764,0.643201,0.492191,0.501437,0.480845
UD_001_B_047_04,UD_001_B_047,left,270,0,0.643201,180,0.501437,0.141764,0.643201,0.492191,0.501437,0.480845
UD_001_B_048_01,UD_001_B_048,left,270,90,0.649974,270,0.476426,0.173548,0.45835,0.649974,0.473894,0.476426
UD_001_B_048_02,UD_001_B_048,left,270,90,0.649974,270,0.476426,0.173548,0.45835,0.649974,0.473894,0.476426
UD_001_B_048_03,UD_001_B_048,left,270,90,0.649974,270,0.476426,0.173548,0.45835,0.649974,0.473894,0.476426
UD_001_B_048_04,UD_001_B_048,left,270,90,0.649974,270,0.476426,0.173548,0.45835,0.649974,0.473894,0.476426
UD_001_B_049_01,UD_001_B_049,left,270,0,0.641152,180,0.484577,0.156575,0.641152,0.482259,0.484577,0.46846
UD_001_B_049_02,UD_001_B_049,left,270,0,0.641152,180,0.484577,0.156575,0.641152,0.482259,0.484577,0.46846
UD_001_B_049_03,UD_001_B_049,left,270,0,0.641152,180,0.484577,0.156575,0.641152,0.482259,0.484577,0.46846
UD_001_B_049_04,UD_001_B_049,left,270,0,0.641152,180,0.484577,0.156575,0.641152,0.482259,0.484577,0.46846
UD_001_B_050_01,UD_001_B_050,left,270,0,0.639196,180,0.509502,0.129694,0.639196,0.47081,0.509502,0.458594
UD_001_B_050_02,UD_001_B_050,left,270,0,0.639196,180,0.509502,0.129694,0.639196,0.47081,0.509502,0.458594
UD_001_B_050_03,UD_001_B_050,left,270,0,0.639196,180,0.509502,0.129694,0.639196,0.47081,0.509502,0.458594
UD_001_B_050_04,UD_001_B_050,left,270,0,0.639196,180,0.509502,0.129694,0.639196,0.47081,0.509502,0.458594
UD_001_B_051_01,UD_001_B_051,right,90,270,0.669255,90,0.507707,0.161548,0.504485,0.507707,0.49373,0.669255
UD_001_B_051_02,UD_001_B_051,right,90,270,0.669255,90,0.507707,0.161548,0.504485,0.507707,0.49373,0.669255
UD_001_B_051_03,UD_001_B_051,right,90,270,0.669255,90,0.507707,0.161548,0.504485,0.507707,0.49373,0.669255
UD_001_B_051_04,UD_001_B_051,right,90,270,0.669255,90,0.507707,0.161548,0.504485,0.507707,0.49373,0.669255
UD_001_B_052_01,UD_001_B_052,left,270,0,0.65682,180,0.489524,0.167296,0.65682,0.484194,0.489524,0.471286
UD_001_B_052_02,UD_001_B_052,left,270,0,0.65682,180,0.489524,0.167296,0.65682,0.484194,0.489524,0.471286
UD_001_B_052_03,UD_001_B_052,left,270,0,0.65682,180,0.489524,0.167296,0.65682,0.484194,0.489524,0.471286
UD_001_B_052_04,UD_001_B_052,left,270,0,0.65682,180,0.489524,0.167296,0.65682,0.484194,0.489524,0.471286
UD_001_B_075_01,UD_001_B_075,left,270,90,0.652734,0,0.487516,0.165218,0.487516,0.652734,0.484764,0.464198
UD_001_B_075_02,UD_001_B_075,left,270,90,0.652734,0,0.487516,0.165218,0.487516,0.652734,0.484764,0.464198
UD_001_B_075_03,UD_001_B_075,left,270,90,0.652734,0,0.487516,0.165218,0.487516,0.652734,0.484764,0.464198
UD_001_B_075_04,UD_001_B_075,left,270,90,0.652734,0,0.487516,0.165218,0.487516,0.652734,0.484764,0.464198
UD_001_B_077_01,UD_001_B_077,left,270,90,0.668563,0,0.476528,0.192035,0.476528,0.668563,0.469232,0.468711
UD_001_B_077_02,UD_001_B_077,left,270,90,0.668563,0,0.476528,0.192035,0.476528,0.668563,0.469232,0.468711
UD_001_B_077_03,UD_001_B_077,left,270,90,0.668563,0,0.476528,0.192035,0.476528,0.668563,0.469232,0.468711
UD_001_B_077_04,UD_001_B_077,left,270,90,0.668563,0,0.476528,0.192035,0.476528,0.668563,0.469232,0.468711
UD_001_B_078_01,UD_001_B_078,left,270,90,0.636722,180,0.476474,0.160248,0.458312,0.636722,0.476474,0.476068
UD_001_B_078_02,UD_001_B_078,left,270,90,0.636722,180,0.476474,0.160248,0.458312,0.636722,0.476474,0.476068
UD_001_B_078_03,UD_001_B_078,left,270,90,0.636722,180,0.476474,0.160248,0.458312,0.636722,0.476474,0.476068
UD_001_B_078_04,UD_001_B_078,left,270,90,0.636722,180,0.476474,0.160248,0.458312,0.636722,0.476474,0.476068
UD_001_B_079_01,UD_001_B_079,left,270,90,0.629395,0,0.476733,0.152662,0.476733,0.629395,0.471795,0.472747
UD_001_B_079_02,UD_001_B_079,left,270,90,0.629395,0,0.476733,0.152662,0.476733,0.629395,0.471795,0.472747
UD_001_B_079_03,UD_001_B_079,left,270,90,0.629395,0,0.476733,0.152662,0.476733,0.629395,0.471795,0.472747
UD_001_B_079_04,UD_001_B_079,left,270,90,0.629395,0,0.476733,0.152662,0.476733,0.629395,0.471795,0.472747
UD_001_C_054_01,UD_001_C_054,left,270,90,0.634514,270,0.490471,0.144043,0.488312,0.634514,0.479944,0.490471
UD_001_C_054_02,UD_001_C_054,left,270,90,0.634514,270,0.490471,0.144043,0.488312,0.634514,0.479944,0.490471
UD_001_C_054_03,UD_001_C_054,left,270,90,0.634514,270,0.490471,0.144043,0.488312,0.634514,0.479944,0.490471
UD_001_C_054_04,UD_001_C_054,left,270,90,0.634514,270,0.490471,0.144043,0.488312,0.634514,0.479944,0.490471
UD_001_C_056_01,UD_001_C_056,left,270,90,0.639936,180,0.485905,0.154031,0.480011,0.639936,0.485905,0.483384
UD_001_C_056_02,UD_001_C_056,left,270,90,0.639936,180,0.485905,0.154031,0.480011,0.639936,0.485905,0.483384
UD_001_C_056_03,UD_001_C_056,left,270,90,0.639936,180,0.485905,0.154031,0.480011,0.639936,0.485905,0.483384
UD_001_C_056_04,UD_001_C_056,left,270,90,0.639936,180,0.485905,0.154031,0.480011,0.639936,0.485905,0.483384
UD_001_C_057_01,UD_001_C_057,left,270,90,0.591086,180,0.484712,0.106374,0.460249,0.591086,0.484712,0.467258
UD_001_C_057_02,UD_001_C_057,left,270,90,0.591086,180,0.484712,0.106374,0.460249,0.591086,0.484712,0.467258
UD_001_C_057_03,UD_001_C_057,left,270,90,0.591086,180,0.484712,0.106374,0.460249,0.591086,0.484712,0.467258
UD_001_C_057_04,UD_001_C_057,left,270,90,0.591086,180,0.484712,0.106374,0.460249,0.591086,0.484712,0.467258
UD_001_C_058_01,UD_001_C_058,left,270,90,0.607591,180,0.489046,0.118545,0.465842,0.607591,0.489046,0.483623
UD_001_C_058_02,UD_001_C_058,left,270,90,0.607591,180,0.489046,0.118545,0.465842,0.607591,0.489046,0.483623
UD_001_C_058_03,UD_001_C_058,left,270,90,0.607591,180,0.489046,0.118545,0.465842,0.607591,0.489046,0.483623
UD_001_C_058_04,UD_001_C_058,left,270,90,0.607591,180,0.489046,0.118545,0.465842,0.607591,0.489046,0.483623
UD_001_C_059_01,UD_001_C_059,left,270,90,0.625094,270,0.494356,0.130738,0.458201,0.625094,0.491978,0.494356
UD_001_C_059_02,UD_001_C_059,left,270,90,0.625094,270,0.494356,0.130738,0.458201,0.625094,0.491978,0.494356
UD_001_C_059_03,UD_001_C_059,left,270,90,0.625094,270,0.494356,0.130738,0.458201,0.625094,0.491978,0.494356
UD_001_C_059_04,UD_001_C_059,left,270,90,0.625094,270,0.494356,0.130738,0.458201,0.625094,0.491978,0.494356
UD_001_C_060_01,UD_001_C_060,left,270,90,0.613289,180,0.491079,0.122209,0.459032,0.613289,0.491079,0.481081
UD_001_C_060_02,UD_001_C_060,left,270,90,0.613289,180,0.491079,0.122209,0.459032,0.613289,0.491079,0.481081
UD_001_C_060_03,UD_001_C_060,left,270,90,0.613289,180,0.491079,0.122209,0.459032,0.613289,0.491079,0.481081
UD_001_C_060_04,UD_001_C_060,left,270,90,0.613289,180,0.491079,0.122209,0.459032,0.613289,0.491079,0.481081
UD_001_C_061_01,UD_001_C_061,left,270,90,0.613275,180,0.465163,0.148111,0.457709,0.613275,0.465163,0.455723
UD_001_C_061_02,UD_001_C_061,left,270,90,0.613275,180,0.465163,0.148111,0.457709,0.613275,0.465163,0.455723
UD_001_C_061_03,UD_001_C_061,left,270,90,0.613275,180,0.465163,0.148111,0.457709,0.613275,0.465163,0.455723
UD_001_C_061_04,UD_001_C_061,left,270,90,0.613275,180,0.465163,0.148111,0.457709,0.613275,0.465163,0.455723
UD_001_C_081_01,UD_001_C_081,left,270,90,0.646695,0,0.475356,0.171338,0.475356,0.646695,0.471761,0.465205
