PairKey,SourceLayout,AFile,BFile,ABackbone,ARotateCW,AOrientationSource,BRotateCW,BOrientationSource,BMatchMinMargin,LayoutCopies,Status
UD_001_A_073_03,UD_001_A_073,UD_001_A_073_03_a.jpg,UD_001_A_073_03_b.jpg,top,180,human-confirmed-turtle,90,wario-verified,0.098526,2,READY
UD_001_A_073_04,UD_001_A_073,UD_001_A_073_04_a.jpg,UD_001_A_073_04_b.jpg,top,180,human-confirmed-turtle,90,wario-verified,0.098526,2,READY
UD_001_A_074_01,UD_001_A_074,UD_001_A_074_01_a.jpg,UD_001_A_074_01_b.jpg,top,180,human-confirmed-turtle,0,wario-verified,0.090258,4,READY
UD_001_A_074_02,UD_001_A_074,UD_001_A_074_02_a.jpg,UD_001_A_074_02_b.jpg,top,180,human-confirmed-turtle,0,wario-verified,0.090258,4,READY
UD_001_A_074_03,UD_001_A_074,UD_001_A_074_03_a.jpg,UD_001_A_074_03_b.jpg,top,180,human-confirmed-turtle,0,wario-verified,0.090258,4,READY
UD_001_A_074_04,UD_001_A_074,UD_001_A_074_04_a.jpg,UD_001_A_074_04_b.jpg,top,180,human-confirmed-turtle,0,wario-verified,0.090258,4,READY
UD_001_B_045_01,UD_001_B_045,UD_001_B_045_01_a.jpg,UD_001_B_045_01_b.jpg,left,270,human-corrected,90,wario-verified,0.170246,4,READY
UD_001_B_045_02,UD_001_B_045,UD_001_B_045_02_a.jpg,UD_001_B_045_02_b.jpg,left,270,human-corrected,90,wario-verified,0.170246,4,READY
UD_001_B_045_03,UD_001_B_045,UD_001_B_045_03_a.jpg,UD_001_B_045_03_b.jpg,left,270,human-corrected,90,wario-verified,0.170246,4,READY
UD_001_B_045_04,UD_001_B_045,UD_001_B_045_04_a.jpg,UD_001_B_045_04_b.jpg,left,270,human-corrected,90,wario-verified,0.170246,4,READY
UD_001_B_046_01,UD_001_B_046,UD_001_B_046_01_a.jpg,UD_001_B_046_01_b.jpg,left,270,human-corrected,90,wario-verified,0.181516,4,READY
UD_001_B_046_02,UD_001_B_046,UD_001_B_046_02_a.jpg,UD_001_B_046_02_b.jpg,left,270,human-corrected,90,wario-verified,0.181516,4,READY
UD_001_B_046_03,UD_001_B_046,UD_001_B_046_03_a.jpg,UD_001_B_046_03_b.jpg,left,270,human-corrected,90,wario-verified,0.181516,4,READY
UD_001_B_046_04,UD_001_B_046,UD_001_B_046_04_a.jpg,UD_001_B_046_04_b.jpg,left,270,human-corrected,90,wario-verified,0.181516,4,READY
UD_001_B_047_01,UD_001_B_047,UD_001_B_047_01_a.jpg,UD_001_B_047_01_b.jpg,left,270,human-corrected,0,wario-verified,0.141764,4,READY
UD_001_B_047_02,UD_001_B_047,UD_001_B_047_02_a.jpg,UD_001_B_047_02_b.jpg,left,270,human-corrected,0,wario-verified,0.141764,4,READY
UD_001_B_047_03,UD_001_B_047,UD_001_B_047_03_a.jpg,UD_001_B_047_03_b.jpg,left,270,human-corrected,0,wario-verified,0.141764,4,READY
UD_001_B_047_04,UD_001_B_047,UD_001_B_047_04_a.jpg,UD_001_B_047_04_b.jpg,left,270,human-corrected,0,wario-verified,0.141764,4,READY
UD_001_B_048_01,UD_001_B_048,UD_001_B_048_01_a.jpg,UD_001_B_048_01_b.jpg,left,270,human-corrected,90,wario-verified,0.173548,4,READY
UD_001_B_048_02,UD_001_B_048,UD_001_B_048_02_a.jpg,UD_001_B_048_02_b.jpg,left,270,human-corrected,90,wario-verified,0.173548,4,READY
UD_001_B_048_03,UD_001_B_048,UD_001_B_048_03_a.jpg,UD_001_B_048_03_b.jpg,left,270,human-corrected,90,wario-verified,0.173548,4,READY
UD_001_B_048_04,UD_001_B_048,UD_001_B_048_04_a.jpg,UD_001_B_048_04_b.jpg,left,270,human-corrected,90,wario-verified,0.173548,4,READY
UD_001_B_049_01,UD_001_B_049,UD_001_B_049_01_a.jpg,UD_001_B_049_01_b.jpg,left,270,human-corrected,0,wario-verified,0.156575,4,READY
UD_001_B_049_02,UD_001_B_049,UD_001_B_049_02_a.jpg,UD_001_B_049_02_b.jpg,left,270,human-corrected,0,wario-verified,0.156575,4,READY
UD_001_B_049_03,UD_001_B_049,UD_001_B_049_03_a.jpg,UD_001_B_049_03_b.jpg,left,270,human-corrected,0,wario-verified,0.156575,4,READY
UD_001_B_049_04,UD_001_B_049,UD_001_B_049_04_a.jpg,UD_001_B_049_04_b.jpg,left,270,human-corrected,0,wario-verified,0.156575,4,READY
UD_001_B_050_01,UD_001_B_050,UD_001_B_050_01_a.jpg,UD_001_B_050_01_b.jpg,left,270,human-corrected,0,wario-verified,0.129694,4,READY
UD_001_B_050_02,UD_001_B_050,UD_001_B_050_02_a.jpg,UD_001_B_050_02_b.jpg,left,270,human-corrected,0,wario-verified,0.129694,4,READY
UD_001_B_050_03,UD_001_B_050,UD_001_B_050_03_a.jpg,UD_001_B_050_03_b.jpg,left,270,human-corrected,0,wario-verified,0.129694,4,READY
UD_001_B_050_04,UD_001_B_050,UD_001_B_050_04_a.jpg,UD_001_B_050_04_b.jpg,left,270,human-corrected,0,wario-verified,0.129694,4,READY
UD_001_B_051_01,UD_001_B_051,UD_001_B_051_01_a.jpg,UD_001_B_051_01_b.jpg,right,90,human-corrected,270,wario-verified,0.161548,4,READY
